sku,name,price,vat,category,barcodes
RICE-SAMBA-5,Samba Rice 5kg,2850.00,0,Rice & Grains,4791111100015
RICE-NADU-5,Nadu Rice 5kg,2450.00,0,Rice & Grains,4791111100022
RICE-BASMATI-1,Basmati Rice 1kg,890.00,0,Rice & Grains,4791111100039
FLOUR-WHEAT-1,Wheat Flour 1kg,320.00,0,Rice & Grains,4791111100046
DHAL-RED-1,Red Dhal 1kg,680.00,0,Rice & Grains,4791111100053
SUGAR-WHITE-1,White Sugar 1kg,290.00,0,Essentials,4791111200014
SALT-TABLE-400,Table Salt 400g,95.00,0,Essentials,4791111200021
COCONUT-OIL-1L,Coconut Oil 1L,1250.00,18,Essentials,4791111200038
SUNFLOWER-OIL-1L,Sunflower Oil 1L,1180.00,18,Essentials,4791111200045
TEA-CEYLON-400,Ceylon Tea 400g,1450.00,18,Beverages,4791111300013
TEA-CEYLON-100,Ceylon Tea 100g,420.00,18,Beverages,4791111300020
COFFEE-INST-100,Instant Coffee 100g,1690.00,18,Beverages,4791111300037
MILK-POWDER-400,Milk Powder 400g,1390.00,18,Dairy,4791111400012|8901234567895
MILK-FRESH-1L,Fresh Milk 1L,480.00,18,Dairy,4791111400029
YOGHURT-CUP,Set Yoghurt Cup,90.00,18,Dairy,4791111400036
BUTTER-227,Butter 227g,1150.00,18,Dairy,4791111400043
CHEESE-SLICE-200,Cheddar Slices 200g,1380.00,18,Dairy,4791111400050
EGGS-10,Eggs 10 pack,650.00,0,Dairy,4791111400067
BREAD-LOAF,Bread Loaf 450g,140.00,0,Bakery,4791111500011
BUNS-PKT6,Buns 6 pack,220.00,0,Bakery,4791111500028
BISCUIT-MARIE-200,Marie Biscuits 200g,260.00,18,Snacks,4791111600010
BISCUIT-CREAM-200,Cream Crackers 200g,310.00,18,Snacks,4791111600027
CHIPS-POTATO-100,Potato Chips 100g,390.00,18,Snacks,4791111600034
NOODLES-INST-70,Instant Noodles 70g,110.00,18,Snacks,4791111600041
ONION-BIG-1KG,Big Onions 1kg,420.00,0,Fresh Produce,
POTATO-1KG,Potatoes 1kg,380.00,0,Fresh Produce,
TOMATO-1KG,Tomatoes 1kg,450.00,0,Fresh Produce,
CARROT-1KG,Carrots 1kg,520.00,0,Fresh Produce,
GARLIC-250,Garlic 250g,340.00,0,Fresh Produce,
CHILLI-DRY-250,Dried Chilli 250g,480.00,0,Spices,4791111700019
CURRY-POWDER-100,Curry Powder 100g,210.00,18,Spices,4791111700026
TURMERIC-100,Turmeric Powder 100g,180.00,18,Spices,4791111700033
PEPPER-BLACK-50,Black Pepper 50g,290.00,18,Spices,4791111700040
SOAP-BATH-100,Bath Soap 100g,180.00,18,Household,4791111800016
DETERGENT-1KG,Washing Powder 1kg,890.00,18,Household,4791111800023
TOOTHPASTE-120,Toothpaste 120g,520.00,18,Household,4791111800030
SHAMPOO-180,Shampoo 180ml,780.00,18,Household,4791111800047
TISSUE-BOX-100,Tissue Box 100s,340.00,18,Household,4791111800054
WATER-BOTTLE-1L,Drinking Water 1L,120.00,18,Beverages,4791111300044
SOFTDRINK-400,Soft Drink 400ml,180.00,18,Beverages,4791111300051
